"customer_id","gender","senior_citizen","partner","dependents","tenure","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","churn","has_streaming"
"8191-XWSZG","Female",FALSE,"No        ","No        ",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.6499996185303,1022.95001220703,"No","No"
"9959-WOFKT","Male",FALSE,"No        ","Yes       ",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.699996948242,7382.25,"No","Yes"
"4190-MFLUW","Female",FALSE,"Yes       ","Yes       ",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2000007629395,528.349975585938,"Yes","No"
"4183-MYFRB","Female",FALSE,"No        ","No        ",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.0500030517578,1862.90002441406,"No","Yes"
"8779-QRDMV","Male",TRUE,"No        ","No        ",1,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.6500015258789,39.6500015258789,"Yes","Yes"
"1680-VDCWW","Male",FALSE,"Yes       ","No        ",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.7999992370605,202.25,"No","No"
"1066-JKSGK","Male",FALSE,"No        ","No        ",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.1499996185303,20.1499996185303,"Yes","No"
"3638-WEABW","Female",FALSE,"Yes       ","No        ",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9000015258789,3505.10009765625,"No","No"
"6322-HRPFA","Male",FALSE,"Yes       ","Yes       ",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.5999984741211,2970.30004882812,"No","No"
"6865-JZNKO","Female",FALSE,"No        ","No        ",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.2999992370605,1530.59997558594,"No","No"
"6467-CHFZW","Male",FALSE,"Yes       ","Yes       ",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.3499984741211,4749.14990234375,"Yes","Yes"
"8665-UTDHZ","Male",FALSE,"Yes       ","Yes       ",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2000007629395,30.2000007629395,"Yes","No"
"5248-YGIJN","Male",FALSE,"Yes       ","No        ",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.4501953125,"No","Yes"
"8773-HHUOZ","Female",FALSE,"No        ","Yes       ",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.6999969482422,1093.09997558594,"Yes","Yes"
"3841-NFECX","Female",TRUE,"Yes       ","No        ",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.3499984741211,6766.9501953125,"No","No"
"4929-XIHVW","Male",TRUE,"Yes       ","No        ",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.649993896484,"No","Yes"
"6827-IEAUQ","Female",FALSE,"Yes       ","Yes       ",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.1500015258789,1874.44995117188,"No","No"
"7310-EGVHZ","Male",FALSE,"No        ","No        ",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.2000007629395,20.2000007629395,"No","No"
"3413-BMNZE","Male",TRUE,"No        ","No        ",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No","No"
"6234-RAAPL","Female",FALSE,"Yes       ","Yes       ",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9000015258789,7251.7001953125,"No","Yes"
"6047-YHPVI","Male",FALSE,"No        ","No        ",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6999969482422,316.899993896484,"Yes","No"
"6572-ADKRS","Female",FALSE,"No        ","No        ",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8000030517578,3548.30004882812,"No","No"
"5380-WJKOV","Male",FALSE,"No        ","No        ",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.349998474121,3549.25,"Yes","Yes"
"8168-UQWWF","Female",FALSE,"No        ","No        ",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.8499984741211,1105.40002441406,"Yes","Yes"
"8865-TNMNX","Male",FALSE,"Yes       ","Yes       ",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.5499992370605,475.700012207031,"No","No"
"9489-DEDVP","Female",FALSE,"Yes       ","Yes       ",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.1999969482422,4872.35009765625,"No","Yes"
"9867-JCZSP","Female",FALSE,"Yes       ","Yes       ",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.75,418.25,"No","No"
"4671-VJLCL","Female",FALSE,"No        ","No        ",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.8499984741211,4861.4501953125,"No","Yes"
"4080-IIARD","Female",FALSE,"Yes       ","No        ",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.1999969482422,981.450012207031,"No","Yes"
"3714-NTNFO","Female",FALSE,"No        ","No        ",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.69995117188,"No","Yes"
"5948-UJZLF","Male",FALSE,"No        ","No        ",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"No","No"
"7760-OYPDY","Female",FALSE,"No        ","No        ",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.6500015258789,144.149993896484,"Yes","Yes"
"7639-LIAYI","Male",FALSE,"No        ","No        ",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.7998046875,"No","Yes"
"2954-PIBKO","Female",FALSE,"Yes       ","Yes       ",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.1500015258789,4254.10009765625,"No","No"
"8012-SOUDQ","Female",TRUE,"No        ","No        ",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"No","Yes"
"9420-LOJKX","Female",FALSE,"No        ","No        ",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.0999984741211,1426.40002441406,"Yes","Yes"
"6575-SUVOI","Female",TRUE,"Yes       ","No        ",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65002441406,"No","Yes"
"7495-OOKFY","Female",TRUE,"Yes       ","No        ",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.6500015258789,633.299987792969,"Yes","No"
"4667-QONEA","Female",TRUE,"Yes       ","Yes       ",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.8499984741211,4456.35009765625,"No","Yes"
"1658-BYGOY","Male",TRUE,"No        ","No        ",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.4499969482422,1752.55004882812,"Yes","Yes"
"8769-KKTPH","Female",FALSE,"Yes       ","Yes       ",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.6500015258789,6311.2001953125,"No","Yes"
"5067-XJQFU","Male",TRUE,"Yes       ","Yes       ",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.449996948242,7076.35009765625,"No","Yes"
"3957-SQXML","Female",FALSE,"Yes       ","Yes       ",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.9500007629395,894.299987792969,"No","No"
"5954-BDFSG","Female",FALSE,"No        ","No        ",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7001953125,"No","Yes"
"0434-CSFON","Female",FALSE,"Yes       ","No        ",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.10009765625,"No","Yes"
"1215-FIGMP","Male",FALSE,"No        ","No        ",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9000015258789,5450.7001953125,"No","Yes"
"0526-SXDJP","Male",FALSE,"Yes       ","No        ",72,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.0999984741211,2962,"No","No"
"0557-ASKVU","Female",FALSE,"Yes       ","Yes       ",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4000015258789,957.099975585938,"No","No"
"5698-BQJOH","Female",FALSE,"No        ","No        ",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4000015258789,857.25,"Yes","Yes"
"5122-CYFXA","Female",FALSE,"No        ","No        ",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3000030517578,244.100006103516,"No","Yes"
"8627-ZYGSZ","Male",FALSE,"Yes       ","No        ",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9000015258789,3650.35009765625,"No","No"
"3410-YOQBQ","Female",FALSE,"No        ","No        ",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.1999969482422,2497.19995117188,"No","Yes"
"3170-NMYVV","Female",FALSE,"Yes       ","Yes       ",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.1499996185303,930.900024414062,"No","No"
"7410-OIEDU","Male",FALSE,"No        ","No        ",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.8499984741211,887.349975585938,"No","No"
"2273-QCKXA","Male",FALSE,"No        ","No        ",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.0499992370605,49.0499992370605,"No","No"
"0731-EBJQB","Female",FALSE,"Yes       ","Yes       ",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.3999996185303,1090.65002441406,"No","No"
"1891-QRQSA","Male",TRUE,"Yes       ","Yes       ",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.599998474121,7099,"No","Yes"
"8028-PNXHQ","Male",FALSE,"Yes       ","Yes       ",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.25,1424.59997558594,"No","No"
"5630-AHZIL","Female",FALSE,"No        ","Yes       ",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.399993896484,"No","Yes"
"2673-CXQEU","Female",TRUE,"No        ","No        ",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"No","Yes"
"6416-JNVRK","Female",FALSE,"No        ","No        ",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.6500015258789,2688.85009765625,"No","Yes"
"5590-ZSKRV","Female",FALSE,"Yes       ","Yes       ",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.6500015258789,482.25,"No","No"
"0191-ZHSKZ","Male",TRUE,"No        ","No        ",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.30004882812,"No","Yes"
"3887-PBQAO","Female",FALSE,"Yes       ","Yes       ",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.8999996185303,1216.59997558594,"No","No"
"5919-TMRGD","Female",FALSE,"No        ","Yes       ",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.3499984741211,79.3499984741211,"Yes","Yes"
"8108-UXRQN","Female",FALSE,"Yes       ","Yes       ",11,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",50.5499992370605,565.349975585938,"No","Yes"
"9191-MYQKX","Female",FALSE,"Yes       ","No        ",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.1500015258789,496.899993896484,"Yes","No"
"9919-YLNNG","Female",FALSE,"No        ","No        ",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.800003051758,4327.5,"No","Yes"
"0318-ZOPWS","Female",FALSE,"Yes       ","No        ",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.1499996185303,973.349975585938,"No","No"
"4445-ZJNMU","Male",FALSE,"No        ","No        ",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3000030517578,918.75,"No","Yes"
"4808-YNLEU","Female",FALSE,"Yes       ","No        ",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.1500015258789,2215.44995117188,"No","Yes"
"1862-QRWPE","Female",FALSE,"Yes       ","Yes       ",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.6499996185303,1057,"No","No"
"2796-NNUFI","Female",FALSE,"Yes       ","Yes       ",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.9500007629395,927.099975585938,"No","No"
"3016-KSVCP","Male",FALSE,"Yes       ","No        ",29,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,1009.25,"No","Yes"
"4767-HZZHQ","Male",FALSE,"Yes       ","Yes       ",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.0500030517578,2570.19995117188,"No","No"
"2424-WVHPL","Male",TRUE,"No        ","No        ",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.6999969482422,74.6999969482422,"No","No"
"7233-PAHHL","Male",FALSE,"Yes       ","Yes       ",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"No","Yes"
"6067-NGCEU","Female",FALSE,"No        ","No        ",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.050003051758,7107,"No","Yes"
"9848-JQJTX","Male",FALSE,"No        ","No        ",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.900001525879,7459.0498046875,"No","Yes"
"8637-XJIVR","Female",FALSE,"No        ","No        ",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.9499969482422,927.349975585938,"Yes","No"
"9803-FTJCG","Male",FALSE,"Yes       ","Yes       ",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.8499984741211,4748.7001953125,"No","No"
"0278-YXOOG","Male",FALSE,"No        ","No        ",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.0499992370605,113.849998474121,"Yes","No"
"3212-KXOCR","Male",FALSE,"No        ","No        ",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21,1107.19995117188,"No","No"
"4598-XLKNJ","Female",TRUE,"Yes       ","No        ",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","Yes"
"6380-ARCEH","Male",FALSE,"No        ","No        ",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2000007629395,20.2000007629395,"No","No"
"3679-XASPY","Female",FALSE,"Yes       ","Yes       ",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.4500007629395,19.4500007629395,"No","No"
"7123-WQUHX","Male",FALSE,"No        ","No        ",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.60009765625,"No","Yes"
"5386-THSLQ","Female",TRUE,"Yes       ","No        ",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.5499992370605,3027.25,"No","Yes"
"3192-NQECA","Male",FALSE,"Yes       ","No        ",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85009765625,"Yes","Yes"
"6180-YBIQI","Male",FALSE,"No        ","No        ",5,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.2999992370605,100.199996948242,"No","No"
"6728-DKUCO","Female",FALSE,"Yes       ","Yes       ",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.150001525879,7303.0498046875,"No","Yes"
"9750-BOOHV","Female",FALSE,"No        ","No        ",32,"No","No phone service","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",30.1499996185303,927.650024414062,"No","No"
"8597-CWYHH","Male",FALSE,"No        ","No        ",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.3499984741211,3921.30004882812,"No","Yes"
"2848-YXSMW","Male",FALSE,"Yes       ","Yes       ",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.3999996185303,1363.25,"No","No"
"0486-HECZI","Male",FALSE,"Yes       ","No        ",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.89990234375,"Yes","Yes"
"4549-ZDQYY","Female",FALSE,"No        ","No        ",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.9500007629395,3042.25,"No","No"
"5712-AHQNN","Female",FALSE,"No        ","No        ",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.6500015258789,3954.10009765625,"No","Yes"
"4846-WHAFZ","Female",TRUE,"Yes       ","No        ",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.14990234375,"Yes","No"
"5256-SKJGO","Female",FALSE,"Yes       ","Yes       ",64,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.5999984741211,3423.5,"No","Yes"
"3071-VBYPO","Male",FALSE,"Yes       ","Yes       ",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.8499984741211,248.399993896484,"No","Yes"
"9560-BBZXK","Female",FALSE,"No        ","No        ",36,"No","No phone service","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",31.0499992370605,1126.34997558594,"No","No"
"5299-RULOA","Female",FALSE,"Yes       ","Yes       ",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65002441406,"Yes","Yes"
"8402-OOOHJ","Female",FALSE,"No        ","No        ",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.6499996185303,835.150024414062,"No","No"
"9445-ZUEQE","Male",FALSE,"Yes       ","Yes       ",27,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",85.1999969482422,2151.60009765625,"No","No"
"1091-SOZGA","Female",FALSE,"Yes       ","Yes       ",56,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.8000030517578,5515.4501953125,"No","Yes"
"2928-HLDBA","Female",FALSE,"No        ","No        ",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.7000007629395,112.75,"No","No"
"0404-SWRVG","Male",FALSE,"No        ","No        ",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4000015258789,229.550003051758,"Yes","No"
"6497-TILVL","Female",FALSE,"Yes       ","Yes       ",7,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.7000007629395,350.350006103516,"No","No"
"7219-TLZHO","Female",FALSE,"Yes       ","Yes       ",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.8500003814697,62.9000015258789,"No","No"
"4622-YNKIJ","Male",FALSE,"No        ","No        ",33,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",88.9499969482422,3027.64990234375,"No","Yes"
"4412-YLTKF","Female",TRUE,"No        ","No        ",27,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.0500030517578,2135.5,"Yes","No"
"6734-PSBAW","Male",FALSE,"Yes       ","No        ",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",23.5499992370605,1723.94995117188,"No","No"
"3930-ZGWVE","Male",FALSE,"No        ","No        ",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.75,19.75,"No","No"
"2639-UGMAZ","Male",TRUE,"No        ","No        ",71,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",56.4500007629395,3985.35009765625,"No","Yes"
"2876-GZYZC","Female",FALSE,"No        ","No        ",13,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.9499969482422,1215.65002441406,"No","Yes"
"6207-WIOLX","Female",FALSE,"Yes       ","Yes       ",25,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",58.5999984741211,1502.65002441406,"Yes","Yes"
"8587-XYZSF","Male",FALSE,"No        ","No        ",67,"Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",50.5499992370605,3260.10009765625,"No","No"
"3091-FYHKI","Male",FALSE,"No        ","No        ",1,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.4500007629395,35.4500007629395,"Yes","Yes"
"2372-HWUHI","Male",FALSE,"No        ","No        ",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.3499984741211,81.25,"Yes","No"
